============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     100.896us         0.79%     100.896us       6.726us           0 B           0 B           0 B           0 B            15  
               triton_poi_fused__unsafe_view_mul_silu_7         0.00%       0.000us         0.00%       0.000us       0.000us      99.512us         0.78%      99.512us       1.508us           0 B           0 B           0 B           0 B            66  
triton_poi_fused__scaled_dot_product_efficient_atten...         0.00%       0.000us         0.00%       0.000us       0.000us      98.499us         0.78%      98.499us       1.492us           0 B           0 B           0 B           0 B            66  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      89.948us         0.71%      89.948us       1.304us           0 B           0 B           0 B           0 B            69  
                                             aten::mean         0.36%     129.859us         0.55%     196.958us      13.131us      88.734us         0.70%      88.734us       5.916us           0 B           0 B      60.00 KB      60.00 KB            15  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      88.734us         0.70%      88.734us       5.916us           0 B           0 B           0 B           0 B            15  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      86.049us         0.68%      86.049us       7.171us           0 B           0 B           0 B           0 B            12  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us      79.748us         0.63%      79.748us       2.417us           0 B           0 B           0 B           0 B            33  
triton_red_fused__to_copy__unsafe_view_add_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us      76.481us         0.60%      76.481us       2.318us           0 B           0 B           0 B           0 B            33  
triton_red_fused__to_copy__unsafe_view_add_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us      75.777us         0.60%      75.777us       2.296us           0 B           0 B           0 B           0 B            33  
triton_poi_fused__unsafe_view_index_copy_transpose_v...         0.00%       0.000us         0.00%       0.000us       0.000us      70.364us         0.55%      70.364us       1.066us           0 B           0 B           0 B           0 B            66  
triton_red_fused__to_copy__unsafe_view_add_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us      65.695us         0.52%      65.695us       1.991us           0 B           0 B           0 B           0 B            33  
triton_poi_fused__scaled_dot_product_efficient_atten...         0.00%       0.000us         0.00%       0.000us       0.000us      64.577us         0.51%      64.577us       0.978us           0 B           0 B           0 B           0 B            66  
                                              aten::pow         0.35%     125.440us         0.58%     209.905us      13.994us      60.512us         0.48%      60.512us       4.034us           0 B           0 B     120.00 MB     120.00 MB            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      60.512us         0.48%      60.512us       4.034us           0 B           0 B           0 B           0 B            15  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.193us         0.47%      60.193us       1.824us           0 B           0 B           0 B           0 B            33  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.489us         0.47%      59.489us       9.915us           0 B           0 B           0 B           0 B             6  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      57.058us         0.45%      57.058us       2.717us           0 B           0 B           0 B           0 B            21  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      50.049us         0.39%      50.049us       4.171us           0 B           0 B           0 B           0 B            12  
                                   aten::_foreach_copy_         0.73%     264.168us         1.66%     596.647us      18.080us      47.706us         0.38%      47.706us       1.446us           0 B           0 B           0 B           0 B            33  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      47.706us         0.38%      47.706us       1.446us           0 B           0 B           0 B           0 B            33  
                                             aten::silu         0.10%      36.652us         0.18%      63.261us      10.543us      45.215us         0.36%      45.215us       7.536us           0 B           0 B      72.00 MB      72.00 MB             6  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.215us         0.36%      45.215us       7.536us           0 B           0 B           0 B           0 B             6  
                                              aten::neg         0.19%      67.535us         0.34%     121.133us      10.094us      44.448us         0.35%      44.448us       3.704us           0 B           0 B      34.50 MB      34.50 MB            12  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      44.448us         0.35%      44.448us       3.704us           0 B           0 B           0 B           0 B            12  
                                            aten::fill_         0.18%      66.312us         0.47%     169.017us       7.042us      40.543us         0.32%      40.543us       1.689us           0 B           0 B           0 B           0 B            24  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.543us         0.32%      40.543us       1.689us           0 B           0 B           0 B           0 B            24  
                  triton_poi_fused__to_copy_unsqueeze_1         0.00%       0.000us         0.00%       0.000us       0.000us      36.322us         0.29%      36.322us       1.101us           0 B           0 B           0 B           0 B            33  
       triton_poi_fused__to_copy_bmm_expand_unsqueeze_2         0.00%       0.000us         0.00%       0.000us       0.000us      35.612us         0.28%      35.612us       1.079us           0 B           0 B           0 B           0 B            33  
                                            aten::where         0.25%      88.376us         0.93%     335.686us      27.974us      34.624us         0.27%      75.328us       6.277us           0 B           0 B      34.50 MB      -2.50 KB            12  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      34.624us         0.27%      34.624us       5.771us           0 B           0 B           0 B           0 B             6  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      26.654us         0.21%      26.654us       0.808us           0 B           0 B           0 B           0 B            33  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.272us         0.14%      18.272us       1.218us           0 B           0 B           0 B           0 B            15  
