============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.41%       1.143ms         8.48%      23.369ms      43.275us       0.000us         0.00%     205.717ms     380.957us           0 B           0 B       6.79 GB           0 B           540  
                                                aten::t         0.47%       1.302ms         0.98%       2.701ms       5.001us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                        cudaMemsetAsync         0.70%       1.922ms         0.70%       1.922ms       3.560us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                    cudaLaunchKernelExC         0.91%       2.500ms         0.91%       2.500ms       4.630us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                            aten::slice         0.39%       1.074ms         0.48%       1.322ms       4.590us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           288  
                                       aten::lift_fresh         0.02%      61.881us         0.02%      61.881us       0.430us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                          aten::detach_         0.06%     165.320us         0.08%     230.148us       1.598us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                                detach_         0.02%      64.828us         0.02%      64.828us       0.450us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                     aten::scaled_dot_product_attention         0.23%     643.467us         1.57%       4.320ms      60.005us       0.000us         0.00%      16.574ms     230.199us       1.12 KB           0 B     581.41 MB           0 B            72  
          aten::_scaled_dot_product_efficient_attention         0.34%     938.105us         1.33%       3.677ms      51.068us       0.000us         0.00%      16.574ms     230.199us       1.12 KB           0 B     581.41 MB           0 B            72  
                                  cudaStreamIsCapturing         0.02%      61.592us         0.02%      61.592us       0.855us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
